"Отметка времени","Какие иностранные языки вы изучаете и на каком уровне? (Выберите язык и укажите уровень)   [Английский]","Какие иностранные языки вы изучаете и на каком уровне? (Выберите язык и укажите уровень)   [Немецкий ]","Какие иностранные языки вы изучаете и на каком уровне? (Выберите язык и укажите уровень)   [Французский]","Какие иностранные языки вы изучаете и на каком уровне? (Выберите язык и укажите уровень)   [Казахский]","Какие иностранные языки вы изучаете и на каком уровне? (Выберите язык и укажите уровень)   [Русский]","Какие иностранные языки вы изучаете и на каком уровне? (Выберите язык и укажите уровень)   [Другой]","Здесь можете написать свой язык которого нет в списке, укажите его уровень в предыдущем опросе","Какие ИИ-инструменты вы использовали для изучения языков? (Можно выбрать несколько)  ","Как часто вы используете ИИ-ассистентов в изучении языков?  ","Какие аспекты изучения языка вам помог улучшить ИИ? (Можно выбрать несколько)  ","Какую пользу ИИ приносит в вашем изучении языка?  ","Насколько эффективны ИИ-ассистенты по сравнению с традиционными методами (учебники, репетиторы, курсы)?  ","Какие у вас есть трудности при использовании ИИ-ассистентов?  ","Доверяете ли вы информации, предоставляемой ИИ-ассистентами?  ","Используете ли вы ИИ-ассистентов для подготовки к экзаменам или тестам по языкам?  ","Порекомендовали бы вы ИИ-ассистентов для изучения языков другим?  "
"2025/03/29 4:11:23 PM GMT+5","C1","A1","","A2","C2","","","DeepL;","Никогда","Лексика","Улучшает понимание грамматики;Обогащает словарный запас;Позволяет практиковать разговорную речь;Помогает исправлять ошибки;Не ощущаю пользы","Скорее менее эффективно","Некорректные ответы;Ограниченный словарный запас ИИ;Проблемы с пониманием контекста;Чрезмерная зависимость от ИИ","50/50","Никогда","Не знаю"
"2025/03/29 4:11:40 PM GMT+5","C1","","","","","","","Не использовал","Никогда","Навыки письма","Помогает исправлять ошибки","Сопоставимо","Проблемы с пониманием контекста","Чаще да, чем нет","Иногда","Скорее да"
"2025/03/29 4:22:52 PM GMT+5","B1","","","","","","","ChatGPT;DeepL","Несколько раз в неделю","Грамматика;Навыки письма","Улучшает понимание грамматики;Помогает исправлять ошибки","Скорее эффективнее","Чрезмерная зависимость от ИИ","Скорее нет","Иногда","Скорее да"
"2025/03/29 4:47:38 PM GMT+5","B1","A1","A1","A1","B2","C2","Украинский","ChatGPT;Grammarly;Ewa","Ежедневно","Произношение;Навыки аудирования;Разговорная речь","Улучшает понимание грамматики;Помогает исправлять ошибки","Сопоставимо","Некорректные ответы;Проблемы с пониманием контекста","Скорее нет","Да, регулярно","Да"
"2025/03/29 5:02:19 PM GMT+5","","","","B1","","","","Grammarly","Редко","Навыки письма","Позволяет практиковать разговорную речь","Сопоставимо","Проблемы с пониманием контекста","Скорее нет","Иногда","Не знаю"
"2025/03/29 5:17:29 PM GMT+5","C1","","","C1","C1","A2","Турецкий","ChatGPT;Grammarly","Несколько раз в неделю","Грамматика;Лексика;Навыки письма","Улучшает понимание грамматики;Помогает исправлять ошибки","Гораздо эффективне","Некорректные ответы","50/50","Да, регулярно","Скорее да"
"2025/03/29 5:59:20 PM GMT+5","B1","","","","","","","ChatGPT","Ежедневно","Навыки письма","Помогает исправлять ошибки","Скорее эффективнее","Проблемы с пониманием контекста;Чрезмерная зависимость от ИИ","Чаще да, чем нет","Да, регулярно","Да"
"2025/03/29 6:03:55 PM GMT+5","A2","A1","A1","B2","B2","","","Duolingo;English Galaxy ","Несколько раз в неделю","Грамматика;Лексика;Произношение;Навыки письма;Навыки аудирования;Разговорная речь","Улучшает понимание грамматики;Обогащает словарный запас;Позволяет практиковать разговорную речь;Помогает исправлять ошибки;Не ощущаю пользы","Сопоставимо","Некорректные ответы;Ограниченный словарный запас ИИ;Проблемы с пониманием контекста;Чрезмерная зависимость от ИИ","Чаще да, чем нет","Иногда","Да"
"2025/03/29 6:23:45 PM GMT+5","","","A2","","","","","ChatGPT;Duolingo","Несколько раз в неделю","Лексика;Навыки письма","Улучшает понимание грамматики","Сопоставимо","Некорректные ответы","50/50","Да, регулярно","Да"
"2025/03/29 8:05:33 PM GMT+5","A1","","","B1","B2","","","ChatGPT","Ежедневно","Грамматика;Лексика","Улучшает понимание грамматики;Обогащает словарный запас;Помогает исправлять ошибки","Скорее менее эффективно","Проблемы с пониманием контекста","Чаще да, чем нет","Иногда","Скорее да"
"2025/03/29 8:08:20 PM GMT+5","B1","","","","","","","Duolingo","Никогда","Разговорная речь","Обогащает словарный запас","Скорее эффективнее","Проблемы с пониманием контекста","Чаще да, чем нет","Да, регулярно","Скорее да"
"2025/03/30 1:17:30 AM GMT+5","C1","A1","A1","C1","C1","A1","Арабский","ChatGPT;Duolingo;О","Никогда","Навыки письма","Не ощущаю пользы","Гораздо менее эффективно","Книги учителей","50/50","Иногда","Не знаю"
"2025/03/30 8:01:12 PM GMT+5","C1","","","","","A1","Korean","ChatGPT;Duolingo;Grammarly","Редко","Грамматика;Лексика;Произношение","Позволяет практиковать разговорную речь;Помогает исправлять ошибки","Скорее менее эффективно","Проблемы с пониманием контекста","50/50","Иногда","Скорее да"
